files,language,blank,comment,code
534083,C,40610907,45978259,228239179
484030,C++,26725540,24715793,141455570
95241,Bourne Shell,14824473,15983187,99179801
809250,C/C++ Header,19839105,36676482,88063518
365730,HTML,6967723,1841372,65097778
49654,m4,3183855,698068,56911113
398850,Java,9858765,23133295,47973926
179091,XML,2218577,1456931,45182189
196352,Python,7544353,9611562,32015199
7535,Qt Linguist,111793,18,21013940
148352,JavaScript,3461765,4497530,18030906
100525,Perl,4420066,5141400,17125106
23472,TeX,1252733,3265439,10365660
67943,C#,1803520,2796671,10173671
42097,Fortran 77,484591,4295158,9407107
12819,Fortran 90,312233,1108344,7448896
18520,Lisp,1092827,1537110,7339162
8624,Windows Module Definition,96572,48120,7095719
52913,PHP,1161255,3146443,6469612
28882,Assembly,967391,1370100,6258749
18338,Pascal,961390,1423100,5509375
53596,Ruby,932674,904135,5121365
9718,MSBuild script,7125,10899,4724453
14992,Qt,13922,6403,4433244
91348,make,968093,822229,3882599
11037,SQL,367105,431536,3772551
18998,OCaml,614042,946752,3618462
13855,Racket,392448,355629,3569210
12967,JSON,7698,0,3515950
14381,Tcl/Tk,585352,669803,2946427
20336,CSS,460355,219480,2736933
54208,DTD,450429,627182,2045117
36457,Visualforce Page,395498,32817,1957430
10395,D,151178,151469,1943392
17823,Haskell,416341,593318,1920861
10219,YAML,33700,28388,1843862
5792,Erlang,296174,401250,1838079
7227,XSLT,258358,228928,1783649
10068,Ada,443479,747488,1749109
8791,Objective C,366966,369370,1698052
8493,Lua,211047,208083,1657386
10999,R,281195,289797,1522072
1830,Glade,44485,4226,1493984
41254,CMake,311406,433462,1486906
18267,IDL,234485,14893,1376005
6461,Objective C++,264933,241223,1349420
10470,XHTML,222505,23655,1288210
3507,XSD,64719,53005,1249255
7072,Markdown,299982,3,1248595
5375,Go,128504,139777,977974
1359,yacc,132830,88426,946812
7495,Bourne Again Shell,131540,166669,775174
4409,Prolog,102656,125103,750475
14909,MATLAB,166502,378912,745978
9986,INI,150268,18496,709849
8846,QML,58938,153817,698112
5725,Expect,82417,93114,687020
914,OpenCL,24889,18943,618358
4202,Visual Basic,56576,47583,594874
3417,Vala,127089,129782,561752
2720,lex,78216,48843,541225
3142,Standard ML,54734,67316,511746
2166,Verilog-SystemVerilog,45882,89518,502111
1161,F#,51816,61557,433822
6517,Groovy,88545,110387,413321
130,RobotFramework,48,2643,408258
