Fecha,Cantidad
2008-December,19
2008-November,1
2009-April,38
2009-August,29
2009-December,23
2009-February,10
2009-January,12
2009-July,7
2009-June,13
2009-March,4
2009-May,15
2009-November,4
2009-October,18
2009-September,39
2010-April,65
2010-August,114
2010-December,101
2010-February,12
2010-January,63
2010-July,49
2010-June,92
2010-March,18
2010-May,31
2010-November,99
2010-October,102
2010-September,45
2011-April,560
2011-August,451
2011-December,47
2011-February,293
2011-January,86
2011-July,215
2011-June,209
2011-March,1056
2011-May,259
2011-November,75
2011-October,220
2011-September,118
2012-April,32
2012-August,125
2012-December,25
2012-February,40
2012-January,90
2012-July,198
2012-June,203
2012-March,130
2012-May,548
2012-November,120
2012-October,134
2012-September,24
2013-April,82
2013-August,391
2013-December,65
2013-February,57
2013-January,53
2013-July,84
2013-June,87
2013-March,70
2013-May,219
2013-November,143
2013-October,301
2013-September,213
2014-April,59
2014-August,12
2014-December,16
2014-February,96
2014-January,106
2014-July,13
2014-June,34
2014-March,71
2014-May,68
2014-November,19
2014-October,12
2014-September,19
2015-April,3
2015-August,40
2015-December,4
2015-February,10
2015-January,14
2015-July,5
2015-June,18
2015-March,3
2015-May,31
2015-November,9
2015-October,12
2015-September,60
2016-April,3
2016-August,7
2016-December,4
2016-February,2
2016-January,1
2016-July,26
2016-June,15
2016-May,7
2016-November,4
2016-October,9
2017-April,7
2017-February,4
2017-January,5
2017-March,3
2017-May,1
