Fecha,Cantidad
2008-August,10
2008-December,75
2008-November,52
2008-October,9
2008-September,10
2009-April,41
2009-August,208
2009-December,27
2009-February,25
2009-January,57
2009-July,53
2009-June,63
2009-March,84
2009-May,33
2009-November,30
2009-October,102
2009-September,224
2010-April,84
2010-August,216
2010-December,316
2010-February,18
2010-January,40
2010-July,83
2010-June,85
2010-March,69
2010-May,25
2010-November,305
2010-October,350
2010-September,43
2011-April,111
2011-August,274
2011-December,308
2011-February,229
2011-January,195
2011-July,145
2011-June,414
2011-March,294
2011-May,325
2011-November,172
2011-October,122
2011-September,220
2012-April,133
2012-August,447
2012-December,240
2012-February,319
2012-January,348
2012-July,341
2012-June,272
2012-March,128
2012-May,187
2012-November,184
2012-October,174
2012-September,60
2013-April,245
2013-August,173
2013-December,112
2013-February,216
2013-January,497
2013-July,40
2013-June,43
2013-March,159
2013-May,104
2013-November,117
2013-October,140
2013-September,45
2014-April,250
2014-August,14
2014-December,3
2014-February,246
2014-January,72
2014-July,6
2014-June,14
2014-March,566
2014-May,193
2014-November,133
2014-October,110
2014-September,49
2015-April,23
2015-August,27
2015-December,17
2015-February,17
2015-January,14
2015-July,4
2015-June,38
2015-March,13
2015-May,16
2015-November,3
2015-October,19
2015-September,7
2016-April,20
2016-December,5
2016-February,19
2016-January,154
2016-July,3
2016-June,2
2016-March,27
2016-May,1
2016-November,6
2017-February,4
2017-January,33
2017-May,119
