Fecha,Cantidad
2004-December,864
2004-November,1091
2004-October,40 
2004-September,285
2005-April,902
2005-August,989
2005-December,557
2005-February,1096
2005-January,1040
2005-July,817
2005-June,666
2005-March,1448
2005-May,508
2005-November,746
2005-October,941
2005-September,1453
2006-April,613
2006-August,662
2006-December,173
2006-February,1066
2006-January,925
2006-July,659
2006-June,625
2006-March,916
2006-May,823
2006-November,751
2006-October,800
2006-September,1011
2007-April,91
2007-August,166
2007-December,75
2007-February,120
2007-January,125
2007-July,153
2007-June,130
2007-March,191
2007-May,111
2007-November,149
2007-October,186
2007-September,300
2008-April,85
2008-August,327
2008-December,162
2008-February,140
2008-January,105
2008-July,248
2008-June,223
2008-March,101
2008-May,133
2008-November,115
2008-October,206
2008-September,353
2009-April,215
2009-August,255
2009-December,246
2009-February,298
2009-January,214
2009-July,175
2009-June,187
2009-March,366
2009-May,85
2009-November,182
2009-October,227
2009-September,330
2010-April,157
2010-August,343
2010-December,119
2010-February,180
2010-January,256
2010-July,62
2010-June,152
2010-March,239
2010-May,101
2010-November,272
2010-October,304
2010-September,233
2011-April,268
2011-August,237
2011-December,87
2011-February,225
2011-January,103
2011-July,188
2011-June,309
2011-March,196
2011-May,215
2011-November,177
2011-October,212
2011-September,93
2012-April,169
2012-August,144
2012-December,77
2012-February,162
2012-January,85
2012-July,113
2012-June,190
2012-March,134
2012-May,119
2012-November,133
2012-October,139
2012-September,209
2013-April,76
2013-August,89
2013-December,92
2013-February,203
2013-January,142
2013-July,119
2013-June,241
2013-March,359
2013-May,126
2013-November,98
2013-October,59
2013-September,52
2014-April,40
2014-August,37
2014-December,40
2014-February,104
2014-January,77
2014-July,29
2014-June,45
2014-March,98
2014-May,79
2014-November,22
2014-October,40
2014-September,39
2015-April,19
2015-August,41
2015-December,32
2015-February,41
2015-January,73
2015-July,43
2015-June,31
2015-March,34
2015-May,12
2015-November,61
2015-October,58
2015-September,20
2016-April,34
2016-August,22
2016-December,60
2016-February,77
2016-January,98
2016-July,24
2016-June,71
2016-March,63
2016-May,39
2016-November,25
2016-October,32
2016-September,17
2017-April,31
2017-February,48
2017-January,39
2017-June,4
2017-March,44
2017-May,18
