Fecha,Cantidad
2004-December,3680
2004-November,4068
2004-October,6878
2004-September,2791
2005-April,5137
2005-August,3115
2005-December,3761
2005-February,3654
2005-January,3255
2005-July,3820
2005-June,3309
2005-March,3883
2005-May,3884
2005-November,3392
2005-October,4272
2005-September,3360
2006-April,4337
2006-August,3707
2006-December,2037
2006-February,2703
2006-January,3642
2006-July,4022
2006-June,4849
2006-March,3586
2006-May,3421
2006-November,2871
2006-October,2909
2006-September,2929
2007-April,2686
2007-August,2348
2007-December,2184
2007-February,2253
2007-January,2335
2007-July,2072
2007-June,2286
2007-March,2381
2007-May,2466
2007-November,3030
2007-October,3568
2007-September,2056
2008-April,3356
2008-August,3262
2008-December,2719
2008-February,2753
2008-January,2520
2008-July,3206
2008-June,3542
2008-March,2496
2008-May,3506
2008-November,3570
2008-October,3053
2008-September,2762
2009-April,3486
2009-August,2302
2009-December,2776
2009-February,2566
2009-January,3142
2009-July,2909
2009-June,2898
2009-March,3154
2009-May,4089
2009-November,3123
2009-October,2561
2009-September,2900
2010-April,2751
2010-August,2182
2010-December,1782
2010-February,2759
2010-January,3148
2010-July,2548
2010-June,2057
2010-March,2340
2010-May,2882
2010-November,2857
2010-October,2751
2010-September,2582
2011-April,1602
2011-August,1318
2011-December,1209
2011-February,1177
2011-January,1612
2011-July,1643
2011-June,1697
2011-March,1242
2011-May,2201
2011-November,1196
2011-October,1517
2011-September,1831
2012-April,726
2012-August,712
2012-December,764
2012-February,964
2012-January,901
2012-July,999
2012-June,1135
2012-March,968
2012-May,945
2012-November,765
2012-October,758
2012-September,877
2013-April,690
2013-August,654
2013-December,439
2013-February,625
2013-January,726
2013-July,500
2013-June,391
2013-March,849
2013-May,605
2013-November,362
2013-October,708
2013-September,616
2014-April,504
2014-August,663
2014-December,395
2014-February,325
2014-January,462
2014-July,331
2014-June,520
2014-March,416
2014-May,309
2014-November,332
2014-October,594
2014-September,644
2015-April,361
2015-August,431
2015-December,270
2015-February,327
2015-January,373
2015-July,411
2015-June,317
2015-March,474
2015-May,281
2015-November,379
2015-October,404
2015-September,360
2016-April,374
2016-August,697
2016-December,319
2016-February,482
2016-January,422
2016-July,611
2016-June,334
2016-March,349
2016-May,343
2016-November,338
2016-October,423
2016-September,418
2017-April,371
2017-February,281
2017-January,392
2017-June,91
2017-March,417
2017-May,162
